,tnv,distance,velocity,accelerate,week_date,date,hour in date,min in date,latitude,longitude,time,moving,active,time_difference,address,type,address_type,hall,nation,count
220,20,183.54793292372952,0.1528292530588922,0.0001272516678258,0,14:04:2013 ,22,3,43.7058323,-72.2887834,1365951796,True,1.0,39601.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,27.0
672,20,794.7269811777405,0.3311362421573919,0.0001379734342322,1,15:04:2013 ,0,3,43.700012,-72.2890338,1365958995,True,1.0,7199.0,"South Block Parking Garage, 3, Currier Place, Hanover, Grafton County, New Hampshire, 03755, United States",parking,amenity,South Block Parking Garage,us,2.0
673,20,2.566909346096485,0.002139091121747,1.7825759347892255e-06,1,15:04:2013 ,0,43,43.7000352,-72.2891507,1365961395,False,0.0,2400.0,"South Block Parking Garage, 3, Currier Place, Hanover, Grafton County, New Hampshire, 03755, United States",parking,amenity,South Block Parking Garage,us,2.0
392,20,420.35179006639737,0.1751465791943322,7.297774133097176e-05,1,15:04:2013 ,1,23,43.7030975,-72.2894274,1365963795,True,1.0,2400.0,"Robinson Hall, 6, North Main Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Robinson Hall,us,1.0
403,20,30.184704571528556,0.0251539204762737,2.096160039689483e-05,1,15:04:2013 ,1,43,43.7028776,-72.2899608,1365964995,True,1.0,1200.0,"Collis Student Center, 2, North Main Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Collis Student Center,us,19.0
475,20,25.284355577339365,0.0210702963144494,1.7558580262041226e-05,1,15:04:2013 ,4,23,43.7026646,-72.2898915,1365974595,True,1.0,9600.0,"Collis Student Center, 2, North Main Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Collis Student Center,us,16.0
476,20,1.7844560781686791,0.0014870467318072,1.2392056098393606e-06,1,15:04:2013 ,5,23,43.7026489,-72.2898603,1365978195,False,0.0,3600.0,"Collis Student Center, 2, North Main Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Collis Student Center,us,16.0
504,20,33.01241634491423,0.0275103469540951,2.2925289128412657e-05,1,15:04:2013 ,5,43,43.7028894,-72.2908622,1365979395,True,1.0,1200.0,"Sarner Underground, 6, Mass Row, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sarner Underground,us,1.0
644,20,299.50208989985856,0.1247405622240143,5.1953586932117615e-05,1,15:04:2013 ,8,3,43.7005377,-72.2913322,1365987796,True,1.0,8401.0,"Edgerton House, 14, School Street, Hanover, Grafton County, New Hampshire, 03755, United States",place_of_worship,amenity,Edgerton House,us,2.0
645,20,0.0,0.0,0.0,1,15:04:2013 ,8,23,43.7005377,-72.2913322,1365988995,False,0.0,1199.0,"Edgerton House, 14, School Street, Hanover, Grafton County, New Hampshire, 03755, United States",place_of_worship,amenity,Edgerton House,us,2.0
375,20,605.8911671795512,0.5049093059829594,0.0004207577549857,1,15:04:2013 ,8,43,43.7049517,-72.2892785,1365990195,True,1.0,1200.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,1.0
